id,occupation
AlBlack1747,Writer
AlBlack1747,Printer
AlBlack1747,Science
AlBlack1747,Book
AlBlack1747,Medicine
AlBlack1772,Writer
AlBlack1772,Medicine
AlBlack1845,Journalist
AlBlack1845,Book seller
AlBlack1845,Book
AlBlack1845,Communication
AlBlack1864,Writer
AlBlack1864,Professor
AlBlack1864,Clergy
AlBlair1798,Landed
AlBlair1815,Manufacturing
AlBlair1815,Landed
AlBlair1878,Writer
AlBlair1878,Professor
AlBlake1809,None
AlBlake1921,Writer
AlBoswe1822,Writer
AlBoswe1822,Poet
AlBoswe1822,Antiquary
AlBoswe1822,Bibliophile
AlBoswe1822,Political
AlBoswe1822,Civil
AlBoswe1822,Landed
AlBoswe1838,Army
AlBoswe1838,Medicine
AlBourk1922,Writer
AlBourk1922,Aristocracy
AlBower1837,Writer
AlBower1837,Librarian
AlBower1837,Clergy
AlBoyd1770,Landed
AlBradf1750,Clergy
AlBrans1827,Engraver
AlBrans1827,Art
AlBrans1827,Book
AlBrodi1754,Political
AlBrodi1754,Antiquary
AlBrodi1754,Landed
AlBrodi1770,Political
AlBrodi1770,Landed
AlBrodi1818,Communication
AlBrodi1818,Political
AlBrodi1818,Landed
AlBrodi1856,Communication
AlBrodi1858,Writer
AlBrodi1858,Novelist
AlBrodi1858,Antiquary
AlBrodi1858,Landed
AlBrown1848,Book
AlBrown1848,Book seller
AlBrown1848,Communication
AlBrown1848,Civil
AlBrunt1854,Writer
AlBrunt1854,Oriental scholar
AlBrunt1854,Professor
AlBrunt1854,Clergy
AlBryce1786,Clergy
AlBryce1786,Science
AlBryce1832,Army
AlBryme1752,Book
AlBryme1752,Book seller
AlBryme1752,Communication
AlBryme1752,Civil
AlBucha1769,Painter
AlBucha1769,Travel
AlBucha1769,Art
AlBucha1824,Writer
AlBucha1824,Medicine
AlBunn1860,Communication
AlBunn1860,Theater
AlBunn1860,Music
AlBurki1873,Writer
AlBurki1873,Antiquary
AlBurki1873,Painter
AlBurki1873,Clerk
AlBurki1873,Art
AlBurki1873,Bank
AlBurme1867,Clergy
AlBurne1802,Diplomacy
AlBurne1802,Civil
AlBurne1802,Landed
AlBurne1841,Writer
AlBurne1841,Travel writer
AlBurne1841,Civil
AlBurne1841,Army
AlBurns1813,Writer
AlBurns1813,Medicine
AlBusk1776,None
AlBuste1715,None
AlButle1773,Clergy
AlButle1847,None
AlByron1822,None
AlCairn1732,Political
AlCairn1732,Civil
AlCairn1732,Bank
AlCairn1732,Communication
AlCairn1732,Landed
AlCaldc1809,Communication
AlCaldc1809,Landed
AlCaldc1858,Writer
AlCaldc1858,Travel writer
AlCaldc1858,Bank
AlCaldc1858,Landed
AlCaldw1839,Army
AlCalla1792,Communication
AlCalla1792,Political
AlCalla1792,Landed
AlCamer1730,Army
AlCamer1828,Writer
AlCamer1828,College headmaster
AlCamer1828,Clergy
AlCamer1828a,Army
AlCampb1785,Army
AlCampb1785,Political
AlCampb1801,Communication
AlCampb1810,None
AlCampb1811,School master
AlCampb1811,Clergy
AlCampb1824,Writer
AlCampb1824,Antiquary
AlCampb1824,Music
AlCampb1824a,Army
AlCampb1824a,Landed
AlCampb1832,Army
AlCampb1832,Political
AlCampb1832,Landed
AlCampb1836,Army
AlCampb1836,Political
AlCampb1836,Landed
AlCampb1857,Writer
AlCampb1857,Oriental scholar
AlCampb1857,Civil
AlCampb1857,Law
AlCarly1805,Writer
AlCarly1805,Clergy
AlCarly1931,Writer
AlCarmi1885,Writer
AlCarmi1885,Travel writer
AlCarmi1885,Novelist
AlCarpe1809,Aristocracy
AlCarro1768,Law
AlCarro1768,Landed
AlCarse1843,Painter
AlCarse1843,Art
AlCartw1785,None
AlCatco1779,Clergy
AlCatco1779,Science
AlChalm1834,Writer
AlChalm1834,Essayist
AlChalo1860,Painter
AlChalo1860,Writer
AlChalo1860,Poet
AlChalo1860,Art
AlChamb1823,Law
AlChamb1823,Civil
AlChamp1793,Army
AlChamp1809,Communication
AlChamp1809,Bank
AlChamp1809,Civil
AlChinn1833,None
AlChish1847,Painter
AlChish1847,Art
AlChorl1801,Communication
AlChorl1801,Manufacturing
AlChorl1801,Landed
AlChorl1828,None
AlChris1820,Writer
AlChris1820,Classics scholar
AlChris1820,Professor
AlChris1832,Medicine
AlChris1832,Science
AlChris1860,Painter
AlChris1860,Art
AlClark1742,Writer
AlClark1742,Clergy
AlClark1744,Civil
AlClark1744,Landed
AlClark1832,Civil
AlClark1832,Army
AlClark1832,Landed
AlClayt1832,None
AlClerk1737,Painter
AlClerk1737,Art
AlClint1883,Painter
AlClint1883,Art
AlCluni1770,Communication
AlCochr1832,Navy
AlCochr1832,Political
AlCochr1832,Aristocracy
AlCockb1794,Writer
AlCockb1794,Poet
AlCockb1794,Host
AlCockb1852,Diplomacy
AlCockb1852,Landed
AlCockb1880,Writer
AlCockb1880,Political
AlCockb1880,Civil
AlCockb1880,Law
AlCockb1880,Landed
AlColvi1861,Law
AlColvi1861,Civil
AlCombe1828,None
AlCompt1906,Clergy
AlCompt1906,Landed
AlCompt1906,Aristocracy
AlCooke1757,Medicine
AlCope1749,None
AlCopla1809,Medicine
AlCopla1834,Manufacturing
AlCopla1834,Landed
AlCotti1794,Communication
AlCotti1794,Landed
AlCowan1859,Manufacturing
AlCozen1786,Painter
AlCozen1786,Writer
AlCozen1786,Art
AlCozen1786,Dramatist
AlCrauf1797,Landed
AlCrich1856,Writer
AlCrich1856,Science
AlCrich1856,Medicine
AlCroke1777,Landed
AlCroke1842,Writer
AlCroke1842,Antiquary
AlCroke1842,Civil
AlCroke1842,Law
AlCroke1842,Landed
AlCroke1857,None
AlCromb1840,Writer
AlCromb1840,School master
AlCromb1840,Clergy
AlCromb1840,Landed
AlCrook1813,Political
AlCrook1813,Civil
AlCrook1813,Law
AlCrook1813,Landed
AlCrude1770,Writer
AlCrude1770,Biblical scholar
AlCrude1770,Book
AlCrudg1759,Theater
AlCumbe1850,Aristocracy
AlCumin1725,Law
AlCumin1725,Civil
AlCumin1725,Political
AlCumin1725,Landed
AlCumin1775,Travel
AlCumin1775,Army
AlCumin1775,Law
AlCummi1806,Army
AlCummi1806,Political
AlCummi1806,Landed
AlCummi1814,Writer
AlCummi1814,Science
AlCummi1814,Craft
AlCunin1742,Political
AlCunin1742,Landed
AlCunin1827,Law
AlCunni1730,Writer
AlCunni1730,Bibliophile
AlCunni1730,Classics scholar
AlCunni1730,Law
AlCunni1737,Writer
AlCunni1737,Historian
AlCunni1737,Diplomacy
AlCunni1737,Civil
AlCunni1812,Law
AlCunni1839,Writer
AlCunni1839,Science
AlCunni1839,Travel
AlCunni1842,Writer
AlCunni1842,Poet
AlCunni1842,Sculptor
AlCunni1842,Art
AlCutle1842,None
AlDOrsa1852,Painter
AlDOrsa1852,Art
AlDalla1817,Law
AlDalla1817,Writer
AlDalla1817,Journalist
AlDalla1817,Civil
AlDalla1869,Writer
AlDalla1869,Clergy
AlDalla1869,Army
AlDalma1781,Medicine
AlDalma1781,Communication
AlDalry1808,Communication
AlDalry1808,Science
AlDalry1808,Writer
AlDalry1808,Bibliophile
AlDalry1808,Civil
AlDalwa1718,Political
